gdp,c,investment,fixed_i,nonresidential,structures,equipment,intellectual,residential
29.912,26.850,22.153,22.680,15.660,67.781,10.587,7.027,65.878
30.380,27.148,23.457,23.311,16.060,68.828,10.973,7.076,68.090
30.472,27.323,23.319,23.434,16.235,69.376,11.087,7.214,67.452
30.673,27.456,23.792,23.770,16.605,72.646,11.231,7.266,66.917
30.524,27.675,22.644,23.241,16.518,72.138,11.137,7.344,62.317
30.478,27.847,21.968,23.124,16.401,71.570,11.058,7.308,62.353
30.522,27.973,22.016,22.649,16.294,70.838,11.011,7.258,58.537
30.803,28.218,22.374,23.032,16.351,71.097,11.078,7.209,61.913
30.473,28.142,21.186,23.027,15.790,70.264,10.494,7.091,68.152
31.301,28.682,23.656,23.500,15.920,70.089,10.671,7.098,71.690
31.470,28.946,24.328,24.382,16.137,69.909,10.931,7.178,78.568
31.729,29.176,24.623,24.803,16.208,69.658,11.007,7.272,82.180
31.804,29.661,23.960,25.454,16.540,69.475,11.386,7.432,85.345
32.389,30.052,25.539,26.538,17.067,71.290,11.818,7.597,90.914
33.124,30.624,26.989,26.994,17.345,71.688,12.087,7.725,92.637
33.436,31.096,27.372,27.300,17.599,71.846,12.376,7.789,93.046
33.996,31.826,27.544,28.496,18.442,72.990,13.323,7.891,96.334
34.838,32.407,29.158,29.614,19.216,75.375,14.058,7.982,99.551
35.217,32.392,30.401,29.840,19.930,77.730,14.707,8.098,94.392
35.032,32.506,29.299,29.752,20.237,79.488,14.888,8.188,90.344
35.364,32.409,30.342,29.496,20.389,78.759,15.128,8.293,86.248
35.060,32.119,28.610,28.908,20.368,78.317,15.140,8.310,80.640
35.144,32.235,28.496,28.546,20.333,77.998,15.112,8.344,77.385
34.811,32.373,27.019,28.077,20.126,74.618,15.185,8.426,74.793
34.676,31.900,27.183,26.568,19.597,73.718,14.567,8.424,65.055
34.254,32.168,22.804,25.061,18.479,69.931,13.508,8.373,61.384
34.499,32.697,22.125,24.775,18.035,67.303,13.228,8.325,63.114
35.089,33.162,23.840,25.381,18.227,67.687,13.392,8.446,67.273
35.562,33.518,24.506,25.888,18.445,67.736,13.591,8.659,70.155
36.362,34.188,26.870,26.945,18.840,69.566,13.768,9.023,76.807
36.628,34.503,27.934,27.389,19.090,69.357,14.027,9.264,78.701
36.829,34.866,28.031,27.698,19.507,70.061,14.410,9.501,77.472
37.096,35.319,28.241,29.013,19.884,70.280,14.816,9.681,86.848
37.535,35.735,29.549,30.014,20.609,70.039,15.768,9.789,89.432
38.264,35.929,31.668,31.577,21.178,72.658,16.171,9.951,99.245
38.955,36.268,33.270,31.980,21.601,73.757,16.573,10.053,98.949
38.956,36.814,32.436,32.530,22.258,74.289,17.359,10.146,97.777
39.080,37.020,33.068,32.823,22.453,74.146,17.607,10.227,98.689
40.590,37.812,35.216,35.066,24.193,81.397,18.988,10.536,103.411
40.998,37.971,36.242,36.016,25.014,86.766,19.356,10.820,104.604
41.549,38.277,37.080,36.804,25.822,90.395,19.874,11.192,104.406
41.624,38.475,37.141,37.129,26.416,89.890,20.588,11.589,101.871
41.669,38.450,37.108,36.914,26.390,91.191,20.291,11.847,100.074
41.978,38.825,36.483,37.560,27.170,95.443,20.737,12.094,98.854
42.083,38.921,35.836,37.212,27.244,98.366,20.415,12.243,94.902
42.215,38.865,35.591,36.723,27.541,99.886,20.566,12.417,87.600
41.346,37.990,32.564,33.713,26.268,97.694,19.094,12.408,71.357
41.296,38.407,30.415,34.122,26.440,98.181,19.236,12.501,73.549
42.067,38.926,33.250,35.410,26.993,101.068,19.514,12.820,80.409
42.891,39.056,36.328,35.739,27.541,101.008,20.038,13.452,78.443
42.573,39.059,34.822,36.024,28.102,104.814,20.206,13.761,75.944
43.083,39.240,36.785,36.039,28.754,107.457,20.667,14.025,70.049
42.613,38.971,35.489,35.925,29.424,115.363,20.414,14.371,62.735
41.951,39.258,32.132,34.930,28.809,111.696,19.948,14.596,59.116
42.143,39.378,32.108,33.834,27.911,108.056,19.108,14.739,57.206
41.982,39.642,31.814,33.031,27.109,102.100,18.735,14.847,57.150
41.998,40.336,29.354,33.050,26.641,99.781,18.381,14.856,61.677
42.552,40.735,30.372,33.795,26.243,95.710,18.252,15.131,72.281
43.520,41.565,33.061,35.068,26.607,91.167,19.171,15.623,80.698
44.390,42.310,35.131,37.035,27.728,93.299,20.253,16.165,88.577
45.316,42.984,38.549,39.101,29.404,95.896,22.031,16.784,92.317
46.202,43.341,42.274,40.329,30.339,101.347,22.415,17.311,95.082
47.000,43.948,43.649,41.905,31.753,106.435,23.521,17.857,96.743
47.454,44.274,44.594,42.737,32.728,109.793,24.258,18.341,95.613
47.843,44.848,44.015,43.502,33.498,110.929,24.973,18.896,95.707
48.307,45.610,42.808,43.894,33.873,115.629,24.752,19.173,95.934
48.732,46.028,43.538,44.458,34.358,115.565,25.292,19.567,96.746
49.476,46.903,43.241,44.276,33.967,113.171,24.943,19.829,98.548
49.844,47.004,44.834,45.117,34.582,114.582,25.409,20.354,100.697
50.309,47.415,44.821,45.246,34.239,111.717,25.155,20.704,104.786
50.536,47.931,44.039,45.256,33.545,101.190,25.467,21.029,110.805
51.020,48.779,42.854,45.056,33.160,97.581,25.318,21.236,112.321
51.294,49.079,42.982,45.405,33.480,98.177,25.606,21.453,112.625
51.676,49.127,44.142,44.621,32.689,95.880,24.721,21.592,112.432
52.233,49.798,44.165,45.304,33.348,97.007,25.444,21.764,112.819
52.686,50.366,44.172,46.088,34.275,101.049,26.117,22.017,111.886
53.591,50.473,47.182,46.068,34.231,102.968,25.631,22.364,112.070
53.868,51.364,44.917,46.095,34.505,99.083,26.432,22.696,110.074
54.576,51.744,45.987,46.997,35.277,101.142,27.090,23.104,111.436
54.896,52.203,46.242,47.216,35.498,99.776,27.383,23.617,111.502
55.627,52.797,46.948,47.776,35.992,99.526,27.731,24.555,112.223
56.193,53.042,48.541,48.201,36.569,101.128,28.062,25.203,111.138
56.621,53.290,48.072,48.263,37.063,99.985,28.666,25.863,107.654
57.041,53.805,47.640,49.107,38.006,103.487,29.229,26.581,107.156
57.153,54.039,47.287,48.469,37.622,102.850,28.430,27.325,104.879
57.778,54.494,47.757,49.042,38.104,105.111,28.562,27.893,105.807
57.988,54.660,47.771,48.071,37.608,104.596,27.693,28.378,101.636
58.026,54.877,46.845,47.676,37.875,104.216,28.088,28.499,96.171
57.498,54.459,44.225,46.448,37.279,99.524,27.673,29.026,90.622
57.229,54.254,42.753,45.169,36.532,97.390,26.678,29.502,85.847
57.675,54.704,42.753,45.304,36.348,94.732,26.507,30.169,88.489
57.967,54.977,43.600,45.359,36.035,88.572,26.910,30.276,91.481
58.169,54.949,45.146,45.555,36.014,86.750,26.784,31.107,93.290
58.865,55.978,44.312,46.054,35.873,85.627,26.573,31.499,98.626
59.503,56.358,46.818,47.567,37.033,85.641,28.107,31.897,102.001
60.091,56.962,47.190,48.113,37.600,86.431,28.744,32.088,102.044
60.718,57.641,48.629,49.520,38.585,87.582,29.802,32.614,105.940
60.820,57.862,49.776,49.890,38.968,86.419,30.368,33.024,106.013
61.174,58.388,50.062,50.788,39.734,84.974,31.583,33.356,107.427
61.466,59.038,49.722,51.586,40.054,85.181,31.946,33.543,111.447
62.302,59.557,52.335,53.657,41.499,87.774,33.707,33.552,117.162
62.906,60.238,54.329,54.292,41.938,85.010,34.662,33.867,118.911
63.759,60.706,57.000,55.389,42.591,88.551,34.871,34.351,122.758
64.131,61.169,56.069,55.847,43.319,87.940,35.776,35.006,120.950
64.866,61.831,58.376,57.196,45.009,89.157,37.930,35.486,119.089
65.096,61.985,58.989,58.406,46.672,91.642,39.867,35.924,116.383
65.290,62.528,57.764,58.365,47.120,93.852,39.805,36.754,112.796
65.846,63.095,57.420,59.180,47.420,94.153,39.877,37.491,116.972
66.293,63.535,58.846,60.329,48.339,93.349,41.005,38.420,119.245
66.789,64.121,59.791,61.870,49.564,95.078,42.034,39.648,122.348
67.903,64.810,62.663,63.790,50.884,97.155,43.264,40.635,127.682
68.513,65.203,65.510,65.239,52.485,98.335,45.000,41.820,127.415
69.224,65.722,65.424,66.280,53.817,103.567,45.548,43.086,125.967
69.671,66.415,66.745,67.519,55.067,104.171,46.439,45.104,126.611
70.829,66.714,70.829,68.806,56.210,103.210,47.979,46.039,128.382
71.715,67.851,71.820,71.245,58.683,107.546,50.552,47.204,129.627
72.331,68.662,72.892,71.772,59.058,108.132,50.433,48.432,130.995
73.054,69.356,76.070,73.890,60.975,107.301,53.072,49.715,133.709
73.730,70.577,75.600,76.402,63.035,113.135,54.616,51.002,138.344
74.653,71.498,77.544,77.866,64.032,112.972,55.447,52.655,142.389
75.860,72.531,79.937,80.026,65.900,112.757,57.911,53.980,145.732
76.578,73.234,82.132,81.428,67.360,112.537,59.618,55.469,146.293
77.167,74.302,82.184,83.366,69.148,111.433,61.737,57.601,148.571
78.177,75.141,84.439,85.309,71.128,111.449,63.828,59.954,149.688
79.506,76.242,86.701,85.753,71.444,112.690,63.414,61.184,150.780
79.794,77.413,86.092,88.208,74.062,115.177,66.278,63.144,151.529
81.255,78.161,91.188,90.158,76.375,120.080,68.727,63.914,150.751
81.363,78.928,90.294,90.551,77.206,124.362,68.964,64.283,148.406
81.870,79.607,90.466,90.826,77.496,124.835,68.835,65.201,148.559
