"DATE","GDP87","USAPGDP","PCOM","FF","NBR","TOTR","M1","M2","MB"
"1959:01",755.218479274465,-137.11334778513,0.496666666666667,2.57,926.438654039327,931.53608298209,493.686914385665,566.249740997254,1061.02499571781
"1959:02",756.91537612275,-136.21746899698,0.46,3.08333333333333,923.613806479732,931.006503601538,494.544470855904,567.70962093937,1061.45974334702
"1959:03",756.568970378634,-135.830765045589,0.36,3.57666666666667,922.775452822997,931.784857969147,495.253526060105,569.058465418989,1062.06929981891
"1959:04",757.142215421957,-135.58145554643,0.326666666666667,3.99,922.726303917209,931.223488799084,494.378298710842,569.44053128436,1061.81107960188
"1960:01",758.928524020189,-134.706197474673,0.193333333333333,3.93333333333333,922.4341891612,929.838177386354,494.092788167144,569.932812430682,1061.37867919136
"1960:02",758.665139377222,-134.6570499377,-0.153333333333333,3.69666666666667,924.170983172224,929.013689550274,493.878119032827,570.744243548769,1061.27459148603
"1960:03",758.766523276006,-134.194613931282,-0.296666666666667,2.93666666666667,928.510765054918,931.226499169811,494.805041890464,572.489143786644,1061.91216629232
"1960:04",758.126081928679,-134.528269512841,-0.313333333333333,2.29666666666667,931.730959297343,932.847889999322,494.757715812912,573.968572529881,1062.29845084189
"1961:01",758.953812946303,-134.517707289149,-0.276666666666667,2.00333333333333,931.748928749323,932.548288748863,495.253526060105,575.66911303116,1061.93416356311
"1961:02",760.389796852188,-133.878688792658,-0.0433333333333333,1.73333333333333,930.655922971673,931.304737016845,495.980972656475,577.486205633715,1061.73846240147
"1961:03",761.83493731458,-133.309643515428,0.173333333333333,1.68333333333333,932.038987712014,932.506688938433,496.563792816552,579.158983106644,1062.63876912454
"1961:04",763.843906307081,-132.943028922713,0.223333333333333,2.4,933.820574297408,934.702512087604,497.466263363744,580.934297031669,1063.974211413
"1962:01",765.150051230517,-132.017661418702,0.14,2.45666666666667,932.978129184201,933.697302290955,498.109204728928,582.963165674134,1064.22213587125
"1962:02",766.185643887908,-131.727326403514,-0.126666666666667,2.60666666666667,932.981087195235,933.673804669981,498.770778945255,585.0476853807,1064.97725752589
"1962:03",766.977532382846,-131.332050117803,-0.27,2.84666666666667,933.06683147558,933.937835098837,498.67978712824,586.580683743157,1065.66787942629
"1962:04",766.86545615929,-130.752481050794,-0.126666666666667,2.92333333333333,933.852834727338,935.143475958512,499.224500231791,588.60114345706,1066.52119626603
"1963:01",768.289710709471,-130.60001056288,-0.0166666666666667,2.96666666666667,933.45030145966,934.798413055416,500.260312239899,590.79923543562,1067.24531463729
"1963:02",769.598534078878,-130.457086626074,-0.0133333333333333,2.96333333333333,932.586901654964,934.350086249169,501.174578838028,592.923447057185,1068.28888790142
"1963:03",771.315914188775,-130.068427533614,0.19,3.33,932.280558936394,935.059494661133,502.212459414401,594.933962080731,1069.60727453021
"1963:04",772.068349786114,-129.370972129662,0.33,3.45333333333333,932.758993202642,935.686202463895,503.152665312763,596.887804843519,1070.84071485193
"1964:01",774.547888064933,-129.216889199707,0.386666666666667,3.46333333333333,933.300038471207,935.740888953378,503.803426828437,598.544647478242,1071.82991154604
"1964:02",775.358062718379,-128.650321206556,0.266666666666667,3.49,933.300038471207,935.458500568398,504.492936132022,600.215717664673,1072.97076873204
"1964:03",776.531459579247,-128.20543508253,0.273333333333333,3.45666666666667,934.676341308583,937.328087926422,506.111714824409,602.441564724767,1074.55359442552
"1964:04",776.811037852599,-127.632519229716,0.643333333333333,3.57666666666667,936.197359996469,938.979671685686,507.413160565538,604.516327944192,1075.85409749391
"1965:01",778.742351939979,-126.562488213778,0.276666666666667,3.97333333333333,935.311227263215,938.482575040973,508.161138289225,606.471500884758,1076.75371725646
"1965:02",780.090020134898,-126.145876484421,0.233333333333333,4.07666666666667,934.87971151232,939.155019991745,508.739055274375,608.100051241884,1077.60423261964
"1965:03",781.822912553473,-125.536139277515,0.35,4.07333333333333,935.276543177083,939.883726650663,509.905308902377,610.01694640162,1078.89478740177
"1965:04",784.141430501738,-124.741132622021,0.39,4.16666666666667,936.89667352586,940.703042792221,511.719509032956,612.256590625796,1080.55644108956
"1966:01",786.203519676033,-123.783717565302,0.323333333333333,4.55666666666667,936.990494164752,941.061098741699,513.422857801514,614.117682033631,1082.02781594519
"1966:02",786.380504062964,-122.759605218988,0.243333333333333,4.91333333333333,935.717866708032,941.4015640095,514.49719179906,615.294543803009,1083.16014478759
"1966:03",787.325513486884,-122.000508364393,-0.316666666666667,5.41,935.065288739586,941.368929596221,514.185846927981,615.895443423136,1084.06391750776
"1966:04",787.872357214699,-120.859116574389,-0.856666666666666,5.56333333333333,935.740888953378,940.992866366886,514.477761117953,616.926199665531,1084.73091417933
"1967:01",788.502821579109,-120.3295628874,-0.856666666666666,4.82333333333333,939.479853349266,942.146532170581,515.463943334629,618.490461904875,1086.24737229379
"1967:02",788.945914940453,-120.010866738942,-0.743333333333333,3.99,942.062830952027,942.982390023668,516.839848854713,620.872415526322,1087.21556576386
"1967:03",790.082184965834,-119.09079391282,-0.183333333333333,3.89333333333333,944.575499149149,945.318196995481,519.017520792833,623.584760141461,1088.54536590849
"1967:04",790.658406410226,-117.87931223404,0.263333333333333,4.17333333333333,947.039427731049,948.288342558516,520.656750793847,625.632569177406,1090.2058487024
"1968:01",792.011953560236,-116.3652370834,0.446666666666667,4.78666666666667,945.550630732489,948.830033752973,521.891334376077,627.293989765024,1091.81081428168
"1968:02",793.626693997076,-115.21493014468,0.393333333333333,5.98,943.022528636214,948.539302802782,523.644196282995,628.983924909851,1093.243412436
"1968:03",794.335676784084,-114.062872672641,0.416666666666667,5.94333333333333,946.586075761957,950.623859919931,525.575775212924,630.955457573115,1094.941376448
"1968:04",794.509481917843,-112.759252917386,0.726666666666667,5.91666666666667,947.810030999109,952.137269303618,527.709373009641,633.17983658336,1096.65935543537
"1969:01",796.018400334576,-111.718060159332,0.88,6.56666666666667,946.039845583127,952.261749128334,529.497846528252,634.843944605571,1098.2537518366
"1969:02",796.130046428094,-110.36812547926,0.53,8.32666666666667,942.942235293571,952.539439122381,530.297317808423,635.78422665081,1099.32160525038
"1969:03",796.710685369694,-108.908939297876,0.333333333333333,8.98333333333333,943.473647185715,952.507811645139,530.744227432504,636.452124112908,1100.32491804608
